trial_id,iters,thalamus_threshold,scale_DNF,dopamine_h,dopamine_0,dopamine_d,selected_action,selected_action_0,selected_action_d,std_val,std_val_0,std_val_d,std_idx,std_idx_0,std_idx_d,wt,wp,wt_d,wp_d
1,25,0.4,0.9,1.2,0.1,0.1,"[[108, 1.3922254534797682], [111, 1.3248434479019393], [113, 0.02287269130962615], [108, 0.5197297821277103], [107, 1.4988776098955767], [110, 1.9422141485544713], [110, 1.7589706997112247], [114, 1.503838209977563], [107, 1.3618923595209498], [116, 1.052810016611502], [116, 1.1646388304399165], [118, 1.2534267925769316], [109, 2.0081318018317957], [114, 0.30387454269600156], [113, 0.5443702970638767], [114, 1.6907531577962533], [114, 1.1682563036148348], [113, 0.7370614738834138], [114, 1.2740822435758148], [114, 2.176537532617701], [116, 2.5869032566556927], [111, 1.0558879564499755], [109, 1.2562075140548203], [112, 0.28796156183046967], [112, 2.8121750856314853]]","[[118, 1.2356621423774967], [116, 2.035966760512434], [111, 1.8767473412949536], [112, 0.3998594235881785], [110, 1.4130234658590293], [111, 0.7532109605472767], [114, 0.9155124548860534], [113, 0.1600281656864786], [110, 0.3498901998801341], [118, 1.9924566047658727], [110, 0.12041379057146076], [112, 0.6567366498326109], [108, 0.9316291119080709], [111, 2.281680381935562], [109, 0.5273523091077633], [115, 1.0377200108692806], [113, 0.4027760001646349], [116, 0.9408619681068586], [117, 0.7081016415700133], [121, 0.6482117353448387], [106, 2.004082158278452], [115, 0.5668963261278382], [116, 2.247162819153629], [117, 1.7910534853096771], [110, 1.4810276651261802]]","[[112, 0.6528463513380987], [104, 0.822919033600643], [114, 2.1719895529724864], [117, 0.7911543398794793], [115, 2.444438830019537], [111, 2.3174782275370007], [114, 2.4217734932912296], [113, 0.2208785865046426], [109, 1.9383842215013392], [115, 1.2010637204650092], [112, 2.019749761332256], [117, 0.7846486011471455], [117, 2.0172928490838666], [107, 0.11978248254585724], [115, 1.0500747872072325], [108, 0.05187192230510519], [112, 1.7026320826923473], [112, 1.6914209637013375], [0, 0.0], [112, 2.589380337153948], [111, 0.7338685022922126], [111, 0.8600302974151615], [0, 0.0], [112, 1.700280065133667], [112, 1.5125138182645108]]",0.6748686688213578,0.6724565212485457,0.8299600900667975,2.970791140420343,3.5853033344474494,30.603947457803542,1.0,0.9,0.8,0.8
2,25,0.4,0.9,1.2,0.1,0.1,"[[110, 0.6979632900845243], [117, 0.8603484996634349], [110, 2.037125931276533], [111, 0.8407879908750198], [114, 1.349010107253943], [109, 2.3560585894944994], [112, 0.8022283434663577], [113, 0.860675518263001], [115, 0.5263653617358013], [115, 2.8541608168532275], [114, 0.9638130425388839], [108, 0.31747835711535105], [0, 0.0], [109, 0.5499592936336307], [113, 1.7169205556333011], [114, 1.0825640603729447], [113, 1.1697796056877983], [119, 0.12093395790640989], [112, 1.3845396751637733], [112, 2.5830625120461117], [0, 0.0], [109, 1.9761080660666308], [111, 2.0160179709481314], [116, 0.8382497226104617], [115, 1.317853062269391]]","[[108, 0.5629758731070804], [0, 0.0], [116, 0.526307517272204], [109, 0.71433367785771], [109, 0.6346335661610011], [111, 1.7508570607807925], [118, 0.6043284718075356], [112, 1.0388417732453452], [106, 1.0577317509618482], [114, 1.1401474419433648], [0, 0.0], [114, 2.364761277682438], [116, 0.329533562018243], [112, 1.5813382366347128], [106, 1.922555739783032], [111, 1.0638075796907138], [111, 0.14121183430330164], [120, 1.4970045520072193], [109, 0.8151014854675964], [115, 1.1394351865632082], [110, 2.0117531848787986], [111, 2.2065444163363233], [118, 1.7007587745332493], [117, 1.1299507726625708], [115, 0.6120268266582476]]","[[110, 0.796327360761992], [113, 1.1663250863855659], [115, 1.857722636017199], [112, 1.1657736640160734], [120, 0.42804122391008304], [116, 1.8728045395448976], [113, 1.4578460974483813], [113, 0.8734129869628443], [105, 0.21149483756876025], [113, 1.6099306389019834], [116, 2.306719965955863], [116, 1.354905982810421], [116, 1.4305960234449997], [118, 1.6984977361804754], [109, 2.255594171547395], [112, 2.3489192553701628], [119, 0.518628251728785], [109, 1.736391145863827], [113, 1.629826600529186], [115, 2.4287743379044646], [118, 0.8309649389827147], [107, 1.3118929038740939], [115, 0.2956749176305142], [112, 1.3191450841331722], [116, 0.5769579997912405]]",0.7730058597523027,0.6621468465791236,0.6412417645098691,30.67621880219269,30.745562281409004,3.6097645352571126,1.0,0.9,0.8,0.8
3,25,0.4,0.9,1.2,0.1,0.1,"[[120, 0.2842479698927254], [119, 1.73797102232157], [118, 0.9706053440918709], [118, 0.8139165100238626], [111, 1.4868464582000671], [0, 0.0], [118, 2.4457749881210824], [0, 0.0], [119, 1.7222653082854038], [116, 1.2885045522563783], [117, 1.3413285354388143], [124, 1.3835224086143283], [117, 2.106711975209821], [120, 1.5857925328586029], [123, 1.2669828946058366], [118, 0.6269763670848308], [114, 1.1452660889811], [114, 1.3771581304565985], [0, 0.0], [114, 0.6524187557428797], [118, 1.7094785442208955], [116, 1.182566910096832], [113, 1.6741018877092348], [119, 0.2502612834545647], [118, 1.0891878659753544]]","[[124, 1.540771718921023], [116, 1.0489216425907217], [120, 1.1473052868386016], [119, 0.691797795153515], [115, 2.2139864560619182], [116, 1.9400870113831619], [114, 1.0457735345034629], [113, 0.48628732026543753], [110, 1.8569629299820876], [111, 1.6612775115488325], [128, 1.1440827369813156], [112, 1.12074161219476], [115, 0.4316032275659801], [116, 1.5458267365977103], [115, 1.5362721134013007], [0, 0.0], [118, 1.455006531934947], [116, 0.7782797668638849], [117, 0.6073860729313414], [120, 1.8191368060841355], [120, 1.1237603692505875], [116, 1.3139656306910514], [124, 1.4534527442442942], [117, 1.0609679315183034], [114, 1.2525824756828325]]","[[119, 2.2637485354957962], [128, 2.2862653796398282], [115, 1.3335757525448833], [120, 2.2397421979885768], [125, 1.5563702442952538], [116, 0.4841078264059379], [118, 2.0941671914804942], [124, 0.9375576367076869], [118, 1.1918766829257776], [110, 1.2431489358425352], [120, 0.7409438579417635], [116, 0.9947291290093254], [111, 0.6424477785586115], [126, 0.2236671987371694], [120, 0.20875100031278554], [118, 0.34418335178157544], [115, 1.6782026998283555], [122, 0.6488812487239131], [115, 1.9169117616250182], [121, 0.8842053910418206], [119, 1.9562900458159116], [111, 1.907539003816912], [117, 0.898315631740401], [112, 0.34507887494093387], [119, 2.291798411009698]]",0.6485996368195345,0.5101152476786396,0.7018814848309278,38.271535114233394,23.26762557718342,4.569463863518345,1.0,0.9,0.8,0.8
4,25,0.4,0.9,1.2,0.1,0.1,"[[119, 1.9133573843848795], [123, 1.7485897052215518], [117, 1.5968793350101862], [117, 0.8141598357078845], [114, 1.3230223807945254], [121, 2.1326924308715456], [124, 1.598540135793529], [114, 1.2948434302157803], [115, 1.4640327013560528], [0, 0.0], [123, 1.7128666280330962], [115, 1.9730124539144203], [117, 1.9227292539971916], [114, 2.3234256525350827], [119, 2.7544757606658172], [114, 1.802151094668252], [117, 1.3482201718080122], [122, 1.1798865371077083], [120, 2.5844152725119827], [117, 1.1013632703789944], [118, 2.125645467463167], [118, 2.4389034402695695], [121, 1.5817301961951333], [116, 1.1720162332667885], [115, 1.466077430313898]]","[[119, 1.4365341540750296], [117, 1.8820127265327649], [0, 0.0], [120, 0.8353264373595661], [109, 1.459091152231968], [120, 1.0953692507308928], [118, 1.8737331671962458], [0, 0.0], [128, 0.6405209460926053], [115, 1.3462693497458131], [116, 1.9778444250720861], [122, 0.8967957276393311], [0, 0.0], [113, 1.5150046833805064], [118, 2.165674300593076], [117, 1.005594775891612], [118, 1.333441642003666], [111, 0.9078785207844484], [128, 1.44418189594113], [124, 2.3105164221411747], [120, 0.13421829307808136], [112, 0.4963014511679449], [118, 0.4385364037190448], [122, 1.0833919706644797], [115, 0.563629319601837]]","[[117, 0.30143529426427096], [118, 1.2768684943059894], [116, 2.0748455777901063], [119, 0.8916248680243275], [119, 1.8073711192796982], [121, 2.051727010003196], [116, 1.0337315799951785], [115, 0.12254638318183375], [118, 0.518272428117678], [125, 0.8131732238352001], [0, 0.0], [116, 0.3673142020787665], [0, 0.0], [115, 0.9421416217951748], [118, 1.1884495360029237], [116, 1.1190641139618946], [119, 0.7441521533896525], [117, 0.49817904237024785], [115, 0.028556433447147492], [118, 1.5508705067522817], [118, 0.8044745428615182], [114, 0.6870705345245112], [115, 1.010986705518784], [117, 0.3418854857120378], [124, 0.7935333046182868]]",0.582637512640693,0.6703294251718646,0.5833452270707231,23.30150209750436,38.66160886460883,32.0215927149166,1.0,0.9,0.5,0.5
5,25,0.4,0.9,1.2,0.1,0.1,"[[123, 0.7854157328992208], [119, 2.160737062932366], [116, 0.5973465363578001], [118, 1.5878762892606364], [111, 1.2176132616931425], [120, 0.5539244511019799], [121, 1.8067012029120393], [123, 2.63020186229567], [119, 0.8712857913513607], [116, 2.344734355244226], [118, 1.7735315360464519], [118, 0.9815277632371578], [117, 1.6470921469437678], [120, 1.5674158540477423], [108, 0.990319189076967], [115, 0.08007100111212347], [114, 1.3680785299297404], [108, 0.8702799487605851], [120, 0.6938828337606662], [116, 1.569032873498109], [116, 0.9248529280584525], [124, 1.5180999780152555], [122, 1.4820390337769678], [115, 2.0814245998222445], [115, 1.1523748232989022]]","[[118, 1.3745035949709383], [116, 0.5735504618780974], [110, 1.5904288484904994], [122, 0.7518075683140746], [115, 0.9312265854091349], [116, 0.5545033179791038], [114, 1.1276456056603794], [126, 0.25936515815468697], [128, 0.1424020194281312], [122, 1.5254980467948382], [121, 0.7803990151331908], [112, 0.9377315481426902], [115, 1.1335134071995332], [116, 1.1232373092612213], [115, 1.9500825840152716], [115, 1.237364043613165], [118, 1.5222154773870937], [116, 1.1766381267798873], [118, 2.328188380770539], [120, 1.8214675458015321], [108, 1.3153810252071696], [116, 0.9783615573546425], [116, 0.09978019135005116], [119, 0.6731064550409687], [127, 1.336571358447241]]","[[122, 1.1484319892589456], [128, 1.1186080310400999], [115, 0.8220635775290687], [117, 0.7836988169290994], [119, 0.9262634765410086], [116, 1.6226805753349118], [117, 0.9558505659715065], [123, 1.054960025989875], [118, 1.6573970707197536], [115, 2.182091903820692], [120, 0.4305739208062735], [116, 1.233068989290326], [120, 1.1763152069266367], [110, 0.5508281053042098], [122, 0.8117342600554043], [118, 1.3141499474341451], [118, 1.7745749972946459], [116, 1.8423534552388443], [120, 1.0317152764410393], [117, 0.7774581014838348], [114, 0.6413652224923485], [124, 0.5645148385015621], [120, 0.5965128870443204], [117, 1.7379376498030343], [119, 0.11985004246592476]]",0.6002983059027004,0.53768992066687,0.4942654001218389,4.103851849177794,4.741982707686733,3.578603079415207,1.0,0.9,0.8,0.8
6,25,0.4,0.9,1.2,0.1,0.1,"[[125, 1.839290718012065], [116, 1.7229175223824642], [116, 0.17497184844698688], [119, 1.206733784088019], [120, 1.3769757650398118], [125, 2.179832148931686], [110, 1.2189485232372361], [123, 2.407451535658031], [123, 2.1245799281249482], [120, 0.7539457864294], [116, 0.9646951774663967], [118, 2.40832611269509], [109, 1.5867383921796392], [0, 0.0], [113, 1.565189342735139], [118, 1.852479247699529], [114, 1.416168762725548], [124, 1.5038032492488576], [113, 2.3777308466378417], [0, 0.0], [116, 1.5179418082548302], [124, 1.2797034026728662], [122, 0.5372648932325071], [120, 1.5362264167515702], [123, 1.4143733507257505]]","[[118, 0.4087296003152902], [123, 1.168730875449466], [120, 1.476427814315475], [119, 0.5339903777195055], [125, 0.5553039695197145], [116, 0.7891625345107753], [117, 1.1998962822724273], [114, 1.193753136240768], [117, 1.9435796780897217], [118, 0.9142185153881606], [121, 1.0033518050169923], [115, 2.277238866037316], [115, 1.4429757059199193], [123, 1.4061609849000385], [118, 1.2542642934475727], [117, 2.107153459113748], [118, 0.5912799640244062], [123, 1.4695104738644535], [120, 1.723835212124035], [120, 0.7083002317595843], [120, 0.9526037791755205], [119, 1.7038885490230151], [124, 1.9706750062373581], [119, 1.001708394519057], [122, 1.300668464357688]]","[[121, 2.3748130753875287], [111, 0.7325242503965683], [116, 1.3711334234754793], [117, 1.8958657375825323], [117, 0.5267984698013006], [116, 1.5496063567955678], [118, 1.4367211866697756], [123, 0.2851011084105486], [118, 1.8056364869759614], [115, 0.6179490201016757], [120, 0.4452503076015487], [117, 2.4051646063347585], [117, 2.0744596849230263], [126, 1.0049975196021934], [119, 1.5030033543240922], [119, 0.4867142161291966], [118, 1.1367439546624745], [116, 0.6137444313819143], [115, 1.1884439761904315], [122, 0.669315414059618], [119, 0.4380394326096081], [121, 0.8239297458104863], [120, 0.5910877026214858], [117, 2.4490298000848516], [118, 0.5255698793054766]]",0.6807531386751943,0.504472502697026,0.6754225597931587,32.471427440135734,2.8744390757154687,2.943195542263545,1.0,0.9,0.8,0.8
7,25,0.4,0.9,1.2,0.1,0.1,"[[119, 1.519152295329564], [0, 0.0], [121, 1.8163274206661462], [118, 0.8088703039473064], [114, 1.7921865987893508], [111, 1.2249161581152446], [119, 2.233044915664649], [0, 0.0], [115, 1.5994004650365787], [0, 0.0], [123, 2.5520728131367325], [117, 0.07624918873717891], [121, 2.16576060329544], [122, 0.4915457761152722], [123, 1.8487789470441096], [113, 0.9089753900755247], [113, 1.533572534960563], [118, 2.0280659041159566], [112, 0.30329405791918435], [123, 1.544802874263992], [119, 0.7832368462090207], [124, 1.148737845366691], [129, 1.7219389009826276], [112, 2.1921842567877827], [120, 1.216712121129219]]","[[115, 0.4069696316173468], [117, 1.7503456214865472], [116, 0.16867366235577846], [118, 2.070346794731354], [117, 1.4025075192529484], [118, 1.0322025327510629], [118, 1.1358097652100565], [124, 2.2312830568461703], [121, 0.9608508751680758], [119, 1.5590023935019468], [122, 0.6877577510305992], [114, 0.6429559692667971], [116, 1.1176244675857032], [119, 1.7972603852402633], [118, 0.7719760655864466], [116, 0.395408053224083], [129, 0.7824525516403223], [111, 0.6925812789693743], [128, 1.509921800019649], [123, 1.686781005320605], [120, 0.40059112355975074], [114, 0.617919541348296], [118, 0.16896541846384378], [117, 0.1646966025518808], [119, 0.6898927668479728]]","[[117, 1.0531786060242838], [119, 1.0872844086893045], [117, 1.516373372196686], [126, 1.5804305662922233], [120, 1.0301311189996762], [123, 0.13755108677092417], [127, 0.695208959245005], [116, 0.06495837469587976], [118, 0.42551180795344457], [0, 0.0], [0, 0.0], [116, 1.6981803972302387], [116, 1.2599959531097649], [115, 1.2529102437620108], [120, 0.9711697726061274], [127, 1.1382107944016775], [119, 0.44834119498084396], [124, 0.8540178580646688], [113, 1.7311051540346252], [0, 0.0], [123, 1.0362995073313652], [122, 1.723703746013354], [115, 0.8594973636253402], [117, 2.161823936706888], [116, 1.695265842127087]]",0.7648800001457398,0.5972379706005461,0.6170798002156795,38.73425357483993,4.037028610252843,38.97330368341899,1.0,0.9,0.5,0.5
8,25,0.4,0.9,1.2,0.1,0.1,"[[115, 1.8847586941112937], [121, 0.1517537742350047], [121, 0.9038682628096807], [118, 1.1745366389919276], [122, 0.8562285892052999], [119, 0.9331198343970691], [122, 2.158510900636132], [115, 1.4296899784066235], [115, 1.1823558031004855], [118, 1.5349033187170453], [116, 1.4313795247327474], [121, 0.9947680645999876], [117, 1.0635666185553176], [115, 0.926594557455753], [118, 1.95503305439106], [121, 1.95293754813461], [122, 0.9596198600073232], [123, 1.735598916368191], [123, 0.9937658635376845], [121, 1.5216369277811348], [121, 1.6149850347755639], [123, 1.051405585010664], [119, 2.024605530422081], [115, 1.8234556450909785], [121, 2.01063195794034]]","[[119, 0.8775012702609176], [122, 1.6164268836927074], [115, 0.7127200279307583], [117, 0.3293848903333598], [119, 0.6354530473745471], [113, 0.8994790763350465], [122, 1.870207101365836], [122, 1.845473919604329], [0, 0.0], [122, 0.6690180598997026], [118, 1.7155957443114973], [114, 1.7095982194319947], [120, 1.504190636367079], [121, 1.2467991203448319], [124, 1.280977873912003], [117, 1.8410914320020022], [126, 1.3056263713178864], [114, 1.9847976733058232], [126, 1.243506094465753], [119, 0.5916687155016997], [114, 1.0771816023113707], [117, 1.023016332090795], [119, 0.5657047248679516], [119, 0.6795506862997969], [121, 1.1600951099768462]]","[[121, 1.2684145732484222], [105, 1.9194733825673704], [121, 1.976590525523096], [119, 0.42761279515755557], [120, 2.0184889987556374], [119, 1.2102803826274064], [120, 0.458682446349181], [120, 0.5525438392047528], [124, 1.1765340871267778], [117, 1.937566774141375], [110, 1.531336909361322], [117, 1.2036830216730368], [120, 1.8460916578421243], [117, 0.5849402138418609], [120, 1.8667725529612662], [118, 1.6240031947000921], [122, 0.11781982861679491], [114, 0.26175661362121383], [119, 1.8252223960987564], [115, 1.497972326785393], [118, 1.0310987003838161], [116, 0.3114841674903042], [117, 2.2324303158688488], [119, 1.6827486255521031], [115, 0.23454594159349845]]",0.487317018296065,0.5262440379214911,0.6630204824105417,2.807418743258654,23.613555429032704,3.831657604744975,1.0,0.9,0.5,0.9
9,25,0.4,0.9,1.2,0.1,0.1,"[[122, 0.956920967000434], [111, 0.6112686739878725], [120, 1.3721944745063046], [121, 1.8791313295291348], [122, 1.1766851223835086], [116, 1.3433411744139119], [125, 1.4320485665930325], [117, 1.4889312035041447], [123, 1.2695353213259652], [121, 0.6733804503919685], [122, 0.478263756571904], [120, 2.1360496167883585], [119, 1.7660680124528731], [120, 1.3495916975683404], [116, 1.9486984441219097], [122, 1.244564080698233], [117, 1.320591210988919], [121, 1.4162638846426077], [116, 1.6287431113747606], [119, 1.3443097159616757], [121, 1.8863705918709652], [121, 1.9323641144079016], [122, 0.6587060144326206], [117, 1.860128626962015], [118, 2.3424540534037495]]","[[116, 0.7186355679127431], [114, 0.911266298618758], [118, 0.37672758339875184], [0, 0.0], [118, 0.009106035377082286], [118, 0.5133072588976149], [118, 1.4541413859836312], [127, 2.1175841212937967], [117, 1.2969502310878385], [120, 1.1580789879383078], [121, 0.02391896226917954], [112, 2.2119598235350844], [111, 1.8212690360410229], [121, 1.503362906363462], [119, 0.6175144341153862], [121, 0.9841686697782692], [0, 0.0], [129, 2.2324513394008516], [120, 1.872821293132942], [113, 1.6472109167690476], [108, 0.7146076785501428], [124, 1.6504885580350543], [121, 0.24689904546459454], [116, 0.5011930311752502], [119, 1.642587807751926]]","[[0, 0.0], [128, 0.9774390185007672], [119, 0.3246658677004728], [124, 2.097026470737109], [121, 0.620455313776481], [117, 2.5701972603512493], [124, 1.723216856479914], [121, 0.8948203420540971], [128, 0.3286495148847139], [0, 0.0], [121, 0.5962519098994145], [119, 0.26670531203611925], [118, 0.8385708025759392], [114, 0.9801693264490694], [119, 0.6632689802515555], [116, 1.7212938434316318], [118, 1.0827584083598871], [114, 1.007842194605964], [120, 1.047482111563016], [112, 0.9630724777937875], [118, 0.6493770063414048], [122, 0.759110190906802], [113, 1.6849437212076688], [117, 0.11211520344077167], [114, 2.619098845562953]]",0.4787339612040958,0.7247509876789588,0.7120913331909879,2.9404761519182574,32.4156505410581,32.539354634042766,1.0,0.9,0.8,0.6
10,25,0.4,0.9,1.2,0.1,0.1,"[[122, 1.5321325987363568], [124, 1.5802021216747875], [0, 0.0], [117, 1.5653144273446797], [123, 2.0500404797726106], [118, 1.1517112356062802], [114, 1.0358459878443493], [118, 0.9312039653113958], [121, 1.480159271129294], [116, 2.178358024391368], [121, 1.5760412284375938], [116, 2.500158285081219], [124, 1.2129467287881068], [119, 1.5262372536422608], [116, 1.8841995838073338], [123, 0.6302972661899919], [120, 2.051480886176908], [119, 1.6138856816737082], [122, 2.2244176524861015], [120, 0.8191564381780273], [112, 1.3232715907754047], [112, 1.4164619385331771], [126, 2.4679321897373243], [121, 1.5471319106844736], [121, 0.6101539181279277]]","[[122, 0.3136265009558786], [123, 0.9888240875218117], [128, 1.3660371708273977], [129, 1.4878490460788631], [118, 1.9126445969746124], [116, 1.4142907015248396], [0, 0.0], [122, 0.15766168510598064], [127, 0.9559955494387835], [117, 0.4354537945796528], [124, 1.0283806928644237], [121, 1.2828230988008145], [122, 2.3090338785438185], [0, 0.0], [118, 1.312462841266899], [127, 1.8709435459701957], [120, 1.2952048457989422], [120, 1.1192708016120005], [121, 0.4282894055488795], [115, 0.9149176822058108], [119, 1.3881070831168214], [114, 1.0946279747740661], [124, 0.9575056341985343], [118, 1.7619389838056019], [122, 0.9435989729194112]]","[[120, 0.9247551218532982], [117, 1.1021114769028435], [0, 0.0], [116, 1.0725212883516106], [118, 1.3037029370748678], [118, 1.8616383790597932], [124, 0.24951932184187328], [115, 1.5067582699995317], [115, 0.46513298902306777], [119, 1.735151125386406], [127, 1.9911318152540665], [125, 0.2811835917362999], [117, 0.7530645672882644], [124, 1.6157897175454046], [117, 1.8665695748475872], [118, 1.4446357805909409], [125, 0.8323627787509529], [120, 0.8651998039757859], [118, 1.1448707463233305], [124, 1.0555443746340216], [115, 2.5279936990355045], [117, 1.3116231274221828], [122, 1.6964682626189036], [116, 0.958141681882365], [121, 1.3343663289215422]]",0.5912322327525638,0.5861072516343271,0.5841494426666524,23.664319132398468,33.09757695058658,23.677026840378417,1.0,0.9,0.8,0.8
