trial_id,iters,thalamus_threshold,scale_DNF,dopamine,dopamine_0,selected_action,selected_action_0,std_val,std_val_0,std_idx,std_idx_0
1,25,0.3,0.6,0.4,0.16,"[(117, 0.4080383890123465), (125, 0.9897187436527498), (115, 0.2926830071550355), (119, 0.6824402518983137), (116, 0.20672168073534752), (122, 0.4982731590139132), (117, 1.5045876447003075), (120, 1.364929380562802), (117, 1.1684125017232363), (114, 1.8775785165261591), (112, 0.6443717950481567), (118, 2.293283906993339), (123, 0.9104930330259978), (113, 0.5135455078076483), (121, 1.495165324747175), (113, 0.8457936455905344), (118, 2.40533582669457), (119, 1.0883619015527148), (112, 0.5223476161784262), (121, 1.3881488799230266), (108, 0.7030193182506876), (115, 0.9700162504433962), (0, 0.0), (111, 1.4134220422977128), (123, 1.897345346866787)]","[(116, 0.9427343214649714), (118, 1.0316755845010832), (123, 0.8233435589165137), (121, 0.9021731651968068), (113, 0.21188409656753246), (115, 1.0292886648267587), (113, 2.15803707008085), (120, 0.930539809819488), (121, 0.5958492917454496), (114, 2.119123897698833), (120, 1.4989862127887243), (118, 1.1763616952364864), (116, 1.473768672351418), (117, 0.432218207757757), (122, 0.6008347029506681), (121, 0.8883219458566056), (115, 0.8896438115099716), (117, 1.5815159238795748), (122, 0.157203624105798), (112, 1.346176643592314), (117, 1.050735350660195), (114, 0.9782733147041323), (122, 0.48754797141568207), (114, 0.9596497324989041), (115, 1.4654130942849004)]",0.6232647373826066,0.49276387590621806,23.306445460430037,3.299454500368205
2,25,0.3,0.7,0.4,0.16,"[(123, 0.7136224688690036), (124, 0.9872718543927529), (130, 0.8661026203300944), (120, 1.5495433386336486), (125, 1.7798480637537997), (125, 1.4667367980291024), (123, 0.8006487689369755), (123, 0.5352432725195008), (119, 0.4797892295355321), (120, 1.026254571777555), (126, 1.5864821359996157), (121, 1.5089274491168134), (117, 1.1790036224273586), (128, 1.9827759355127499), (123, 1.0504651991768374), (0, 0.0), (114, 1.4347700557607863), (124, 0.7786033566948519), (121, 1.2006519440279375), (116, 0.17327676457809194), (122, 1.719234762799571), (111, 0.5133442672228182), (122, 1.5218110649888896), (121, 0.5325229402861129), (122, 1.60924233511766)]","[(124, 1.0560978420987872), (116, 0.44476828472592056), (119, 1.0183237518552133), (112, 1.0438076146945108), (120, 0.6601057792504524), (116, 1.5366023089504242), (114, 1.5856107425539165), (113, 1.5134901824442863), (117, 0.47611824683717185), (122, 0.5640345502902159), (119, 0.43478234153966955), (115, 0.7162795628523345), (113, 1.0661233361503757), (118, 1.262522355107417), (130, 1.6600135277048853), (122, 1.9638290771490154), (126, 0.8868289201646657), (120, 1.275565617132958), (118, 0.2507207729454287), (120, 1.510565449917003), (121, 0.9507236135112639), (124, 0.552530861533852), (124, 1.3238476197113092), (117, 0.2627582838495615), (0, 0.0)]",0.520656394461,0.503956383497,24.1826384003,23.7419460028
3,25,0.2,0.4,0.2,0.08,"[(120, 0.22073435384773749), (116, 0.8956711481797144), (116, 1.5720907631900276), (120, 1.0432761468810898), (107, 0.8879671756229148), (125, 1.2600566570507012), (125, 1.119362100663863), (116, 1.687606715975608), (119, 0.4876531616382709), (116, 0.4985598751322659), (118, 1.2792078675147593), (124, 0.8326170978448209), (117, 0.315053336515405), (114, 0.7608357478121237), (106, 1.4580888629851332), (127, 0.6474338074397903), (114, 0.6396841825082429), (114, 1.2562298265478706), (113, 1.1931216270444753), (116, 1.6948567735797917), (110, 1.0271463887951675), (120, 0.24487339466485825), (113, 1.1949972860124294), (114, 1.193816821488243), (122, 1.980534529944322)]","[(118, 1.3016156152832434), (123, 0.31395638300799666), (107, 0.8794945711223442), (119, 0.8914883050586119), (115, 1.1918747017760527), (112, 0.2139047183620668), (114, 0.750401210684596), (109, 0.6079545196780497), (110, 0.8173796702105713), (111, 0.8109882914954042), (110, 0.9046458777599333), (117, 1.0078555602623807), (113, 0.8117030704239043), (111, 0.723810107002332), (115, 0.4993759972664847), (122, 1.3726462039955785), (113, 0.30877280989498107), (116, 0.9894599331029135), (120, 0.9144513724205574), (121, 0.2773659871068229), (121, 0.7677586592363392), (116, 1.7273491103817014), (110, 0.5639013496447357), (117, 0.45283312239764795), (129, 0.7801136750685795)]",0.460973299159,0.353176263433,5.20246095612,5.13092584238
4,25,0.2,0.42000000000000004,0.2,0.08,"[(112, 0.4178297495250176), (111, 1.1860703726516755), (115, 1.0139779491771186), (116, 0.2972529273916712), (115, 1.1002398408404597), (111, 0.6050253609438859), (118, 1.5443353340665442), (123, 0.5724750323167295), (111, 0.9461968320521816), (121, 1.3246596308411474), (113, 0.7845031148266917), (117, 1.39660984533251), (122, 0.5236181136231415), (120, 1.3198054865788764), (122, 0.3141016234048539), (118, 1.0137126591285703), (112, 1.383678165471194), (112, 0.5364368474411902), (120, 0.1369409165270578), (117, 1.232826968394622), (123, 0.7626944693554342), (111, 0.2897830092484149), (120, 1.0016678194467448), (117, 1.6070322533874823), (118, 1.9471545827017582)]","[(116, 1.130271086142522), (115, 1.1744852226176), (110, 1.381462433813353), (120, 0.5127273740257923), (114, 1.070663587387893), (111, 1.0230504628047579), (119, 0.9945908411299782), (119, 1.0525140706056084), (115, 1.7017177253461628), (116, 0.15656725732397755), (114, 1.5314614182974102), (115, 1.9041076076204075), (117, 0.8671250461681235), (116, 1.1537938091987825), (113, 1.146041653165586), (121, 0.6514663393143895), (118, 1.6311040633289822), (113, 2.054589845317711), (112, 0.7053388964289323), (111, 1.337716703435492), (113, 1.1172883736898258), (111, 1.1134863138842523), (123, 0.9150635330880058), (2, 1.6712932753145926), (113, 2.1623188844285224)]",0.468650000483,0.465106875077,4.03980197534,22.4280538612
5,25,0.2,0.44000000000000006,0.2,0.08,"[(119, 0.3853021031969232), (117, 1.4188983297825786), (117, 0.734367320870943), (123, 1.2844066989413625), (109, 1.389658827271025), (116, 0.8764888850778181), (118, 0.6289064684630543), (118, 0.2744688229407616), (121, 0.4934056615475058), (115, 1.769829157528713), (110, 0.6417115597218079), (122, 0.2642298410673984), (116, 0.4967967404146803), (119, 1.3816550998441781), (125, 0.5426784744891248), (116, 1.3500776176412645), (118, 1.3496875527531067), (111, 0.38840210529888475), (120, 1.5311600484101335), (123, 1.510600493323371), (120, 1.0263220568088285), (122, 0.2328823977978587), (114, 1.149478179270006), (118, 1.6901065427024786), (115, 0.725619534135399)]","[(117, 1.204409823852823), (117, 1.0734026164029955), (115, 1.1119216445459679), (119, 0.516874409423618), (119, 0.012901615939371221), (121, 1.5010486721162517), (124, 0.5602788912226211), (113, 0.7845319039797608), (122, 1.4223644866939584), (113, 1.0334816622817067), (115, 0.46503331148577215), (125, 0.9446585229783099), (116, 0.42171229257140963), (118, 1.8931751535565156), (0, 0.0), (349, 0.4816967364912949), (119, 0.9898432752583848), (124, 0.4975012229803768), (107, 0.5601065388377764), (115, 1.3301697278650422), (118, 0.47706854856481506), (114, 0.41525769845278065), (118, 0.8731922110340619), (117, 1.5812668581927043), (124, 1.1499765603832994)]",0.48588736266,0.474459281522,3.94684684273,51.8520047828
6,25,0.2,0.4600000000000001,0.2,0.08,"[(115, 1.3658756454298415), (108, 1.1218637764637025), (118, 1.2382923483141235), (118, 1.4616220063686967), (108, 1.1947857703028504), (0, 0.0), (122, 1.0150771516138286), (119, 1.5680162246814122), (115, 1.115458111091264), (118, 1.1122933424047106), (116, 0.29551793886949074), (114, 1.5897629808432125), (117, 0.5497155028673211), (115, 0.8507250558257782), (118, 1.950449311328037), (115, 0.6495434899023725), (113, 1.3912966935777837), (123, 1.188291508321161), (111, 1.1694499481675558), (116, 0.6484036154602839), (116, 1.8446683076003714), (117, 1.4646378584813493), (121, 0.12265074442328422), (117, 0.976512980164062), (121, 0.17372677583828164)]","[(0, 0.0), (122, 1.5605026024396886), (117, 0.8904051372989061), (119, 1.4821006288801235), (115, 1.311836755099207), (119, 1.3989415270105696), (121, 0.17788480017237876), (109, 0.9283461332631291), (123, 0.8014276487233518), (125, 0.15318755400617437), (121, 0.945752632267595), (114, 1.3766984067432766), (115, 0.460526078272812), (117, 1.7013247223859498), (116, 0.7218018879338075), (126, 0.1233067590128796), (124, 0.35066398208655414), (119, 0.5203794139599661), (120, 1.794521340493914), (119, 2.124989684040803), (119, 0.8950914182970006), (114, 1.4110595910564414), (116, 0.2646658033241062), (115, 0.4517328898722742), (114, 0.5321170576199902)]",0.512995864898,0.584474199585,23.0770535381,23.5067309509
7,25,0.2,0.4800000000000001,0.2,0.08,"[(121, 1.0894282503352173), (112, 1.352287646243259), (112, 1.603077015869053), (125, 0.5440421382026551), (113, 1.4965201717816492), (114, 0.2692235795996368), (117, 0.9830905235118165), (113, 1.7868167686656724), (119, 0.8282746714283582), (116, 0.30644889323721414), (122, 0.768254284079764), (117, 0.2642630844006842), (117, 1.3274813021323002), (117, 1.2492951984941425), (121, 0.9020805603469111), (112, 0.502556918551028), (120, 0.3297362821207268), (114, 0.7377685288057132), (0, 0.0), (118, 1.4506506428413497), (118, 0.5791317602730073), (114, 0.5005628583308567), (117, 0.6394749343961252), (115, 1.0350990896022028), (115, 1.6411839603892677)]","[(113, 1.0674627345056815), (111, 0.8143578063004756), (120, 0.9631509657928876), (111, 1.33146485121569), (115, 1.494813983957228), (114, 1.0874444327153436), (118, 0.7699038849176143), (117, 0.31837484633212493), (120, 0.8973607129873591), (122, 0.992135329461276), (114, 1.1780588117122253), (120, 1.724540072824803), (118, 0.8258175176189604), (108, 1.7547265131253496), (117, 1.6313663112780623), (119, 0.6575534550565212), (114, 0.27641310213464854), (120, 1.336877832056853), (115, 1.3478635148584044), (110, 1.1246895700682138), (116, 1.4133198179340694), (125, 0.8001007076181064), (119, 1.3658963850149801), (115, 0.7463119212765372), (114, 0.8769845088001851)]",0.490265571195,0.383249688742,23.0936874492,3.92937654088
8,25,0.2,0.5000000000000001,0.2,0.08,"[(120, 1.0510299516084842), (120, 0.11779817586499823), (0, 0.0), (116, 1.5474343723464226), (118, 1.7446104044849766), (116, 0.3035007523492657), (114, 1.5841844902689082), (114, 1.2599971235627265), (117, 1.151573530968211), (116, 0.9552229666331653), (0, 0.0), (112, 0.591636861373911), (113, 0.6812077366930523), (114, 1.6807590978957447), (119, 1.3669549091632893), (121, 1.1592265458739552), (116, 0.889680516582828), (120, 1.1886318364424402), (120, 0.8363991876060338), (113, 0.6117374080269813), (113, 1.1247628625720474), (119, 1.037416159341404), (121, 1.2267994471129418), (116, 1.4703034926181473), (119, 0.9082643430996297)]","[(111, 0.9502758102742588), (125, 1.2078309435983876), (115, 0.6420182753764547), (125, 1.4621066292633458), (112, 1.2445096061238528), (117, 1.1382365191124222), (110, 1.267988053164744), (122, 0.6116019709649302), (118, 1.0661942640952482), (0, 0.0), (121, 1.598681531526484), (119, 1.596788557854697), (111, 0.3758483113135946), (118, 0.6837069535964692), (119, 0.5620237100091814), (116, 0.6536501135039277), (115, 1.3072387632698443), (114, 2.0294009967386875), (115, 1.3940232843978164), (115, 0.09275573402158237), (118, 0.911679942013295), (119, 0.30872068795344476), (120, 0.7131983062119478), (116, 0.48301007899314335), (114, 0.823906736177321)]",0.488206322549,0.492638755148,31.8108409194,23.2275698255
9,25,0.2,0.5200000000000001,0.2,0.08,"[(114, 0.255072709758518), (113, 0.5643675952763438), (118, 0.969704755508776), (115, 0.5612993755930923), (113, 0.25229285854372935), (118, 1.5644650951793464), (113, 0.7872627828672485), (116, 0.9314041028388333), (120, 1.116855103297365), (116, 0.569749124026899), (109, 1.5096415860499377), (114, 0.7485189161128205), (117, 0.9252931505627022), (119, 0.4568665531686728), (113, 0.8755557037418213), (110, 0.7305330845443967), (111, 0.6289886556606047), (113, 0.5669897556035688), (111, 1.608850068049285), (112, 0.5880099335201534), (126, 1.0755611760691386), (112, 0.9791420613875821), (121, 1.1336615942410064), (118, 1.6371090634735548), (112, 1.10335150952307)]","[(117, 1.114342808480817), (116, 0.5831954582005949), (116, 0.26908662720686377), (113, 0.34269891259090773), (119, 0.09281844359455368), (120, 0.6588744323828971), (110, 0.1106677280344), (116, 0.4732031555054351), (115, 1.0640398066539711), (117, 0.33254998720960854), (120, 1.7800582803193703), (121, 1.021890668705451), (122, 1.2409537445109071), (113, 1.5196004642926155), (112, 0.4952757959335798), (127, 0.9358455942260726), (119, 0.8119784136106198), (116, 0.9819950218279132), (118, 0.75669780019782), (117, 1.0698066192175033), (121, 1.6290906602952808), (114, 0.6989190309063434), (118, 0.9356900856025809), (117, 1.1822113985092129), (109, 1.5018243980901367)]",0.387569950161,0.456952227744,3.86243446546,3.85663065382
10,25,0.2,0.5400000000000001,0.2,0.08,"[(118, 0.5123794479137382), (0, 0.0), (121, 0.5764650642392154), (120, 0.24936192055940554), (111, 0.9238492675616725), (118, 0.46205330892602403), (110, 1.2982751839225433), (120, 0.6831798570512367), (110, 0.7463340591157664), (113, 0.7113912700018789), (114, 1.4074820984165362), (118, 1.3694125463538573), (117, 1.1005623840416485), (119, 1.4029255871251032), (117, 0.7526641280501583), (118, 0.6831310137213101), (0, 0.0), (114, 0.9153736319050684), (112, 0.782502746773773), (120, 1.4209534008861602), (115, 0.6006868726895987), (116, 1.881038577799434), (114, 0.09912884786958844), (120, 0.6316110393946375), (121, 1.3932814015226307)]","[(113, 0.5331875902545665), (115, 0.8777289368267738), (117, 1.0138475225663042), (116, 1.2462762295685783), (115, 1.7385003513327777), (116, 0.32561722107387725), (122, 1.4792758705434277), (122, 1.4373260182303342), (115, 0.2653674420532603), (113, 0.1493154931984515), (112, 0.5467536293155992), (119, 0.6408674428261104), (121, 1.5710482533555055), (112, 0.6708900441965701), (117, 1.112193050383954), (111, 0.15002132715664504), (115, 1.3106187618165375), (118, 0.7656978800842004), (114, 0.8089265319627064), (120, 1.2920002609788843), (119, 1.4435036718242766), (113, 0.7606091408876449), (121, 1.43361650209916), (111, 1.7154617545508584), (119, 1.0632576941119312)]",0.479401876051,0.477339619631,31.7370193938,3.38561663512
